LOCALIDAD;NUMERO DE BOMBARDEOS;FECHAS;XETRS89;YETRS89;BANDO;DESCRIPCIÓN;FUENTE;OBSERVACIONES;;
Montxotegi;1;04/04/1937;526392.4498;4763795.949;Franquista;Richtofen escribió en su diario que observó aviones del modelo Junker Ju52, luchadores del grupo Jv/88 (quizás fueran modelos Heinkel He51 o Stuka) y a los Italianos bombardeando la zona. ?El macizo se vuelve un horroroso mar de llamas y de humo con las bombas-aproximadamente sesenta toneladas en el espacio de dos minutos? escribió. Al día siguiente volvió al lugar y describió los efectos del bombardeo: ?En la hondonada, cuadros horribles, allí corrieron los rojos. Cadáveres espantosamente destrozados. De visión agradable-¡estética!-nada. Posiciones construidas muy fuerte y aplicadamente. Alambradas en tres escalones, trampas para tanques. Si no hubiéramos sacado a bombazos al enemigo, nos hubiera costado otros dos días de combates?. ;Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.;;;
Elosu;11;Desde 01/12/1936 hasta 19/12/1936;526196.5121;4758132.684;Republicano;La aviación republicana bombardeó las posiciones franquistas  en el pueblo de Elosu hasta en 11 ocasiones durante le mes de diciembre de 1936. ;Arma de Aviación. Parte de Operaciones (AAPO)  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  ;;;
Urremendi;2;03/05/1937  10/05/1937;526127.0641;4785036.275;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Urremendi los días 3 y 10 de mayo de 1937. No se dispone de información al respecto del número de víctimas que pudo haber a consecuencia de estos ataques.;Euzkadi  El Liberal;;;
Gernika;3;26/04/1937  27/04/1937  29/04/1937;526042.948;4795721.978;Franquista;La aviación franquista bombardeó Gernika el 26 de abril de 1937. Tomaron parte 59 aviones en el bombardeo. Se lanzaron unas 31 toneladas de bombas. Se lanzaban primero bombas explosivas que destruyeran parte de los edificios y después incendiarias que arrasaran lo que quedara e incendiaran el pueblo. Tomaron parte en el bombardeo aviones italianos y alemanes. La población quedó casi totalmente arrasada, sufriendo daños más del 90 por ciento de los edificios y siendo totalmente destruidos más del 80 por ciento.  No se han logrado cifras exactas pero en un informa de junio de 1937 el Gobierno Vasco hablaba de 1654 muertos y 889 heridos. El bombardeo de Gernika fue un experimento de guerra convertido en la mayor masacre en un bombardeo durante la Guerra Civil en el País Vasco y en un símbolo de la barbarie bélica. Es, sin duda el acontecimiento de este tipo más significativo de la guerra, además de haber pasado a la historia y ser uno de los episodios más conocidos, si no el más, de la historia del País Vasco. A día de hoy se cifra el número de víctimas en más de dos mil. Lo que quedaba del pueblo volvió a ser atacado, aunque de manera muchísimo menos virulenta, en los días 27 y 29 de abril de 1937. ;Secretaría General de S.E. el Jefe de Estado. Oficina de Información. Salamanca. (SGOI)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Relazione sulla Missione in Spagna. Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare  Spagna, AM Busta 70, Fasc. 7. (RMS)  Euzkadi ;;;
Mugarra;1;22/05/1937;525954.0554;4777680.818;Franquista;Las posiciones republicanas en la zona del monte Mugarra, en Mañaria, fueron bombardeadas. No se dispone de más información. ;;;;
Muxika;3;09/05/1937  10/05/1937  14/05/1937;525511.3042;4790985.879;Franquista;La aviación franquista bombardeo Muxika en tres ocasiones en mayo de 1937. No disponemos de información sobre las consecuencias de estos bombardeos, ya sean materiales o personales.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi;;;
Bombardeos de la carretera entre Otxandiano y Dima;1;13/04/1937;525421.8967;4769619.853;Franquista;La carretera entre Otxandiano y Dima fue bombardeada por la aviación franquista en un intento por dañar las comunicaciones en la zona republicana. No se dispone de más información sobre este hecho. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh);;;
Bombardeo del aeródromo de Lakua;1;12/12/1936;525279.2124;4745312.208;Republicano;Bombardeo por parte de ocho aviones del aeródromo de Lakua en Vitoria. Fueron destruidos varios aviones y un hangar;El Noticiero Bilbaíno (13/12/1936), El Liberal (13/12/1936), Euzkadi (13/12/1936), La Gaceta del Norte (13/12/1936);;;
Mundaka;1;03/05/1937;524337.043;4806194.257;Franquista;La aviación franquista dejó caer algunas bombas sobre Mundaka. 6 aviones modelo ?Savoia Marchetti SM.81? del grupo Z7 llevaron a cabo el ataque. No se dispone de información al sobre el número de víctimas que pudieron causar. ;Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA);;;
Altun;3;06/04/1937  07/04/1937  22/05/1937;524165.3077;4769669.949;Franquista;Las posiciones republicanas en la zona del monte Altun fueron bombardeadas en tres ocasiones entre abril y mayo de 1937. Aviones del modelo "Jun ker Ju52" tomaron parte en estos ataques. No se dispone de información sobre el número de víctimas que pudieran causar. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.;;;
Zestafe;2;18/12/1936  20/12/1936;524040.651;4757658.995;Franquista;Bombardeo de Zestafe por parte de la aviación franquista. Fue bombardeado 2 veces entre el 18 y el 20 de diciembre de 1936.;Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Arma de Aviación. Parte de Operaciones. (AAPO);;;
Euba;2;09/04/1937  28/04/1937;523998.6912;4782187.534;Franquista;El barrio de Euba, perteneciente a Amorebieta, fue bombardeado en dos ocasiones en abril de 1937. En uno de los bombardeos no hubo víctimas, mientras que en el otro, según "Euzkadi", se ametralló a "algunas personas". No disponemos de más información.;Euzkadi;;;
Gorostiza;3;13/12/1936  14/12/1936  16/12/1936;523797.8718;4759410.56;Franquista;La aviación franquista bombardeó los caseríos situados en el barrio de Gorostiza, en Zigoiti, conocidos como caseríos de San Pedro;El Liberal  Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI);;;
Bombardeo del Alto de Barazar;2;29/07/1936  18/06/1937;523558.5341;4768644.902;Franquista;La aviación franquista bombardeó en dos ocasiones la zona del Alto de Barazar, en Ubide, Zeanuri, donde se hallaban posiciones del bando republicano. Sabemos que en el primero de los bombardeos no causaron ninguna víctima. No se dispone de datos a este respecto en el caso del segundo ataque. ;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi;;;
Okoizta;6;Desde 10/12/1936 hasta 21/12/1936;523387.584;4758196.343;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona de Okoizta, perteneciente a Zigoiti;Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI);Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Arma de Aviación. Parte de Operaciones. (AAPO);;
Gorbei-Txiki;5;Desde 14/12/1936 hasta 06/04/1937;522475.4024;4761925.221;Franquista;Bombardeo de posiciones republicanas en el monte Gorbei-Txiki por parte de la aviación franquista. Esta zona fue bombardeada en 5 ocasiones entre diciembre de 1936 y abril de 1937.;Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Orden de Misión de las Fuerzas Aéreas del Norte. (OMFAN)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN) ;;;
Etxaguen;3;02/12/1936  10/12/1936  16/12/1936;522467.7341;4759114.828;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona de Etxaguen, perteneciente a Zigoitia. Se produjeron 3 bombardeos en diciembre de 1936.;Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI);;;
Añetu;1;06/05/1937;522412.0175;4802597.253;Franquista;La aviación franquista bombardeó las posiciones republicanas en el monte Añetu en la zona de Busturia-Axpe.  No se dispone de información sobre las víctimas que pudo causar este ataque.;Euzkadi;;;
Erriogiti;4;Desde 26/04/1937 hasta 10/05/1937;522282.481;4796243.247;Franquista;Errigoiti fue bombardeado en cuatro ocasiones entre abril y mayo de 1937. En abril el Gobierno Vasco contabilizó 5 muertos y 13 heridos a causa de los bombardeos. No se dispone de información al respecto para el mes de mayo.;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Euzkadi  Testimonio de George Steer;;;
Bermeo;9;Desde 09/04/1937 hasta 26/05/1937;522222.6664;4807509.758;Franquista;Bermeo fue bombardeado en 9 ocasiones entre abril y mayo de 1937. Uno de estos bombardeos fue un ataque naval, perpetrado por los barcos franquistas ?Galerna? y ?Almirante Cervera? , que no causaron víctimas y solo algunos daños menores en la zona del puerto. En cuanto a los bombardeos aéreos, participaron los grupos A/88, J/88, y aviones modelo ?Savoia Marchetti SM.81? pertenecientes al grupo Z7,  junto a los ?Romeo Ro.37? del grupo Lo-1. No se dispone de información sobre el número de víctimas que pudieron causar. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Euzkadi  El LIberal  Testimonio de George Steer. ;;;
Amorebieta;20;Desde 13/04/1937 hasta 13/06/1937;521808.9912;4785061.418;Franquista;Amorebieta-Etxano fue bombardeado en 20 ocasiones entre abril y junio de 1937. Durante una semana de mayo el pueblo fue bombardeado a diario. Los barrios de Bernagoitia y Astepe fue dañado en algunos de estos ataques. Aviones de los modelos ?Fiat Cr.32? ,y "Heinkel He51" de la aviación italiana y alemana tomaron parte en estos ataques. Hasta el mes de abril el Gobierno Vasco registró 22 muertos y 34 heridos en Amorebieta-Etxano. Durante los meses de mayo y junio se desconoce el número de víctimas que causaron los bombardeos. Sea como fuere, Amorebieta-Etxano fue uno de los pueblos más intensamente bombardeados en un corto periodo de tiempo. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  El Liberal  Euzkadi  El Pensamiento Alavés  Testimonio de George Steer. ;;;
Ondategi;4;Desde 16/12/1936 hasta 19/12/1936;521773.8533;4756179.414;Franquista;La aviación franquista bombardeó la zona de Ondategi. Se produjeron 4 bombardeos entre el 16 y el 19 de diciembre de 1936. ;Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Arma de Aviación. Parte de Operaciones. (AAPO);;;
Murua;1;01/12/1936;521347.9839;4758286.586;Republicano;La aviación republicana bombardeó las posiciones franquistas  en Murua. No se dispone de información sobre el número de víctimas causadas. ;Arma de Aviación. Parte de Operaciones (AAPO);;;
Monte Bizkargi;11;Desde 09/05/1937 hasta 04/06/1937;521044.6528;4791434.134;Franquista;La aviación franquista bombardeó en 11 ocasiones las posiciones republicanas en la zona del monte Bizkargi, entre Larrabetzu, Muxika , Morga y Zornotza. La zona fue una de las más castigadas con bombardeos durante ocho días consecutivos de las posiciones enemigas. No se dispone de información sobre el número de víctimas causadas por esto ataques. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  El Liberal  Euzkadi  El Pensamiento Alavés;;;
Morga;3;12/05/1937  15/05/1937  11/06/1937;520408.1782;4795821.301;Franquista;Morga fue bombardeado en tres ocasiones entre mayo y junio de 1937. El barrio de Meakaur resultó dañado en uno de los ataques. No disponemos de información sobre el número de víctimas que pudieron causar estos ataques.;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  Testimonio de George Steer;;;
Zeanuri;6;Desde 02/04/1937 hasta 10/04/1937;520379.2087;4767584.612;Franquista;El pueblo de Zeanuri fue bombardeado en 6 ocasiones durante la primera quincena del mes de abril de 1937. La zona de la ermita de Santa Agueda también sufrió uno de estos ataques y resultó dañada. En uno de los bombardeos se registraron cuatro heridos. En otro no hubo víctimas, y no se dispone de información en el resto de los casos. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Attivitá Giornaliera dell´Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937, Vol. 1.(AGAL)  Euzkadi  El Liberal;;;
Itxerango;1;29/05/1937;520269.7353;4785370.886;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Itxerango, en Amorebieta. No se dispone de información sobre las consecuencias de este ataque;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO);;;
Dima;7;Desde 06/04/1937 hasta 23/05/1937;519989.5236;4776815.016;Franquista;Dima fue bombardeado en siete ocasiones durante los meses de abril y mayo de 1937. Tanto la aviación alemana como la italiana tomaron parte en estos ataques. El barrio de Oba sufrió daños, así como varios edificios  del pueblo. No disponemos de información sobre el número de víctimas ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Parte de Radios Rojas. (PRR)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh) Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Euzkadi  El Pensamiento Alavés;;;
Monte Truende;1;08/05/1937;519771.4266;4805544.13;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Truende. No se dispone de más información.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Gonga;1;02/04/1937;519520;4761321;Franquista;Bombardeos de posiciones enemigas en el monte Gonga, perteneciente a Zigoiti, por parte de la aviación franquista;Partes de la Misión de las Fuerzas Aéreas del Norte (PMFAN);;;
Sollube;13;Desde 03/05/1937 hasta 12/06/1937;519138.2436;4802032.946;Franquista;Las posiciones republicanas en la zona del monte Sollube, entre Bermeo y Amorebieta-Etxano, fueron bombardeadas en 13 ocasiones en mayo y junio de 1937. La gran mayoría de estos ataques (todos excepto uno) fueron en mayo. Aviones del modelo "Savoia Marchetti SM.81? del grupo Z7 participaron en los bombardeos, así como la Legión Cóndor alemana.  La cuota 606  fue la más castigada. No se dispone de información sobre el número de víctimas que pudieron causar estos ataques.;Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  El Liberal  Euzkadi  Testimonio de George Steer;;;
Arrieta;1;03/05/1937;519080.1139;4798779.372;Franquista;La aviación franquista bombardeo la zona de Arrieta. No se dispone de más información ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO);;;
Areatza;5;Desde 02/04/1937 hasta 23/05/1937;518688.9407;4774278.241;Franquista;El pueblo de Areatza fue bombardeado en cinco ocasiones entre abril y mayo de 1937. Se desconoce el número de víctimas, y solamente en un caso se puede confirmar que hubo una herida grave. En otra ocasión no hubo víctimas, y en los tres casos restantes no se dispone de información al respecto.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Euzkadi;;;
Lemoatx;6;Desde 29/05/1937 hasta 10/06/1937;518484;4785140;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Lemoatz, perteneciente a Lemoa. La Legión Cóndor alemana participó en al menos dos de estos ataques. No se dispone de información al respecto de las víctimas que pudo haber a consecuencia de los bombardeos. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  El Liberal  Euzkadi;;;
Monte Urkulu;3;22/05/1937  28/05/1937  11/06/1937;518448.9459;4793265.694;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Urkulu, en Larrabetzu, en tres ocasiones entre mayo y junio de 1937. No se dispone de información sobre el número de víctimas que pudieron causar estos ataques. ;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal  Testimonio de George Steer;;;
Igorre;7;Desde 06/04/1937 hasta 29/05/1937;518083.2047;4779070.316;Franquista;La aviación franquista bombardeó el pueblo de Igorre en siete ocasiones entre abril y mayo de 1937. La aviación italiana y la Legión Cóndor alemana tomaron parte en estos ataques. No se dispone de información sobre los daños y víctimas que se pudieron producir.;Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  El Liberal  Euzkadi  El Pensamiento Alavés;;;
Lemoa;9;Desde 08/05/1937 hasta 13/06/1937;517919.5899;4784337.884;Franquista;Lemoa fue bombardeado en nueve ocasiones entre mayo y junio de 1937. Según las crónicas de la época estos ataques causaron destrozos de gran consideración en el pueblo y las carreteras adyacentes, además de un número indeterminado de víctimas. Tan sólo se tienen cifras de uno de los ataques, en el que según "El Liberal" murió una persona y cuatro resultaron heridas.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Secretaría General de S.E. el Jefe de Estado. Oficina de Información. Salamanca. (SGOI)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  El Liberal  Euzkadi;;;
Gorbeia;5;Desde 02/04/1937 hasta 29/05/1937;517826;4764604;Franquista;Bombardeo de posiciones republicanas en la zona de Gorbeia (se mencionan Orozko, Ubide, Zeanuri, Zigoiti y Zuia) por parte de la aviación franquista. También el sanatorio situado en la campa de Arraba fue atacado. En total se bombardeó esta zona en 5 ocasiones entre abril y mayo de 1937;Partes de la Misión de las Fuerzas Aéreas del Norte (PMFAN). Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las  Operaciones (CJEMRO) Euzkadi (03/04/1937);;;
Artea;3;06/04/1937  11/05/1937  23/05/1937;517200.1463;4775593.107;Franquista;El pueblo de Artea fue bombardeado en tres ocasiones en abril y mayo de 1937. La aviación italiana tomó parte en estos ataques, así como la Legión Còndor alemana. No se dispone de más información al respecto.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  El Liberal  Euzkadi;;;
Fruiz;4;Desde 14/05/1937 hasta 15/06/1937;516814.697;4796984.551;Franquista;Fruiz fue bombardeado en cuatro ocasiones entre mayo y junio de 1937. En al menos un caso no hubo víctimas. En otro de estos ataques, siempre según la crónica del "Euzkadi", la aviación franquista bombardeó a sus propias tropas en la zona.  No se dispone de información sobre las víctimas o los destrozos causados en los demás casos.;Euzkadi  El Liberal  Testimonio de George Steer;;;
Larrabetzu;5;Desde 29/04/1937 hasta 11/06/1937;516545.4122;4789824.001;Franquista;La aviación franquista bombardeó Larrabetzu en cinco ocasiones entre abril y junio de 1937. Aviones "Heinkel He51" atacaron la zona, siendo uno de ellos derribado y su piloto capturado. En dos de los bombardeos no hubo víctimas, en uno se registraron tres muertos y dos heridos y no se dispone de información al respecto en los demás casos.;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Euzkadi  El Liberal;;;
Monte Apario;1;29/05/1937;516407.1203;4782079.219;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Apario, en Lemoa. La aviación italiana participó en el ataque. No se dispone de datos sobre las víctimas que pudiera haber habido a consecuencia del bombardeo.;Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO);;;
Monte Kantoibaso;2;11/06/1937  12/06/1937;516210;4793190;Franquista;La aviación franquista bombardeó en dos ocasiones las posiciones republicanas en el monte Kantoibaso,en Larrabetzu. La Legión Condor alemana participó en al menos uno de los dos ataques. No se dispone de información sobre el número de víctimas que pudieran haber causado.;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  El Pensamiento Alavés  Testimonio de George Steer;;;
Bedia;5;Desde 04/01/1937 hasta 07/06/1937;516045.0573;4783932.608;Franquista;Bedia fue bombardeado en cinco ocasiones entre enero y junio de 1937. En tres de estos ataques no se produjeron víctimas. No se dispone de información sobre este tema en los otros dos casos. Algunos edificios fueron destruidos y los daños de los bombardeos fueron sobre todo materiales, en cualquier caso.;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Euzkadi  El Liberal;;;
Gamiz-Fika;3;11/06/1937  12/06/1937  13/06/1937;515484.7817;4795300.218;Franquista;Gamiz-Fika fue bombardeado en tres ocasiones durante el mes de junio de 1937. No se dispone de información al respecto del número de víctimas que pudieron causar estos ataques.;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi  El Liberal  El Pemsamiento Alavés;;;
Larrauri;2;03/05/1937  17/05/1937;515131.8584;4801455.173;Franquista;La aviación franquista bombardeó en dos ocasiones la zona de Larraurti, perteneciente a Mungia. No hubo víctimas en ninguno de los dos casos, según las crónicas de la época.;El Liberal  Euzkadi;;;
Monte Tollu;2;12/05/1937  14/05/1937;515097.4192;4803766.486;Franquista;Las posiciones republicanas en el monte Tollu fueron bombardeadas por la aviación franquista el 12 y el 14 de mayo de 1937. La aviación italiana participó en el ataque. No disponemos de información sobre el número de víctimas que pudiera haber.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Euzkadi;;;
Bakio;2;12/05/1937  14/05/1937;515025.2486;4808173.81;Franquista;Bakio fue bombardeado en dos ocasiones en mayo de 1937. En uno de los casos no hubo víctimas, mientras que no disponemos de datos al respecto para el otro.  La Legión Condor alemana participó en al menos uno de los bombardeos. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA);;;
